"x"
"    lhs                                                                    rhs                                                       support      confidence lift        "
"58  {SherlockListActivity}                                              => {android.intent.action.MAIN}                              5.672890e-06 1.0000000  3.032462e+01"
"59  {NavUtil}                                                           => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"60  {Window}                                                            => {android.settings.SETTINGS}                               5.672890e-06 1.0000000  4.474036e+02"
"61  {android.provider.Telephony.SMS_DELIVER}                            => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"62  {MultiSelectListPreference}                                         => {android.net.wifi.STATE_CHANGE}                           5.672890e-06 1.0000000  3.147804e+03"
"63  {MediaRouteProviderService}                                         => {android.net.conn.CONNECTIVITY_CHANGE}                    5.672890e-06 1.0000000  1.391294e+02"
"64  {DetailsFragment}                                                   => {android.intent.action.SEND}                              5.672890e-06 1.0000000  5.080029e+00"
"65  {android.provider.calendar.action.HANDLE_CUSTOM_EVENT}              => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"66  {android.net.wifi.action.REQUEST_SCAN_ALWAYS_AVAILABLE}             => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"67  {LaunchActivity}                                                    => {android.intent.action.USER_PRESENT}                      5.672890e-06 1.0000000  2.073847e+03"
"68  {VpnService}                                                        => {android.intent.action.SCREEN_ON}                         5.672890e-06 1.0000000  4.147694e+02"
"69  {Statistics}                                                        => {android.intent.action.SEND}                              5.672890e-06 1.0000000  5.080029e+00"
"70  {App}                                                               => {android.intent.action.MAIN}                              5.672890e-06 1.0000000  3.032462e+01"
"71  {AbstractAccountAuthenticator}                                      => {android.intent.action.MAIN}                              5.672890e-06 1.0000000  3.032462e+01"
"72  {AsyncTaskCompat}                                                   => {android.intent.action.SEND}                              5.672890e-06 1.0000000  5.080029e+00"
"73  {Ad}                                                                => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"74  {android.intent.action.PACKAGE_CHANGED}                             => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"75  {android.intent.action.SEARCH_LONG_PRESS}                           => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"76  {android.settings.NFC_PAYMENT_SETTINGS}                             => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"77  {android.intent.action.VOICE_COMMAND}                               => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"78  {android.settings.SHOW_REGULATORY_INFO}                             => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"83  {ResolveInfo}                                                       => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"84  {ExpandableListView}                                                => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"85  {Contacts}                                                          => {android.intent.action.PICK}                              1.134578e-05 1.0000000  5.482955e+01"
"90  {UI}                                                                => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"93  {RecyclerView$Adapter}                                              => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"96  {android.settings.ACTION_PRINT_SETTINGS}                            => {Object}                                                  1.134578e-05 1.0000000  2.139648e+00"
"105 {LauncherActivity}                                                  => {android.intent.action.MAIN}                              1.134578e-05 1.0000000  3.032462e+01"
"106 {android.bluetooth.device.action.NAME_CHANGED}                      => {Object}                                                  1.134578e-05 1.0000000  2.139648e+00"
"113 {TabHost}                                                           => {android.intent.action.MAIN}                              1.134578e-05 1.0000000  3.032462e+01"
"114 {android.intent.action.RESPOND_VIA_MESSAGE}                         => {Object}                                                  1.134578e-05 1.0000000  2.139648e+00"
"121 {ADMMessageHandlerBase}                                             => {android.intent.action.MAIN}                              1.134578e-05 1.0000000  3.032462e+01"
"126 {GridView}                                                          => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"129 {PreferenceFragmentCompat}                                          => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"130 {android.bluetooth.devicepicker.action.LAUNCH}                      => {PreferenceActivity}                                      1.134578e-05 1.0000000  9.326825e+01"
"131 {OverlayView}                                                       => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"134 {FragmentPagerAdapter}                                              => {android.intent.action.VIEW}                              1.134578e-05 1.0000000  1.874091e+00"
"149 {android.settings.INPUT_METHOD_SUBTYPE_SETTINGS}                    => {Object}                                                  1.701867e-05 1.0000000  2.139648e+00"
"152 {Button}                                                            => {android.intent.action.VIEW}                              1.701867e-05 1.0000000  1.874091e+00"
"164 {ChromeClient}                                                      => {android.intent.action.GET_CONTENT}                       1.701867e-05 1.0000000  9.190667e+01"
"168 {AsyncQueryHandler}                                                 => {android.intent.action.CALL}                              1.701867e-05 1.0000000  4.332195e+01"
"171 {android.intent.action.CONTENT_CHANGED}                             => {ContentProvider}                                         1.701867e-05 1.0000000  1.101731e+04"
"174 {LinearLayoutCompat}                                                => {android.intent.action.SEARCH}                            1.701867e-05 1.0000000  1.817289e+03"
"179 {Text}                                                              => {android.intent.action.VIEW}                              1.701867e-05 1.0000000  1.874091e+00"
"181 {FragmentPresenter}                                                 => {android.intent.action.SEND}                              1.701867e-05 1.0000000  5.080029e+00"
"185 {File}                                                              => {android.intent.action.VIEW}                              1.701867e-05 1.0000000  1.874091e+00"
"198 {android.media.action.MEDIA_PLAY_FROM_SEARCH}                       => {Object}                                                  2.269156e-05 1.0000000  2.139648e+00"
"204 {ClockInfo}                                                         => {android.intent.action.BATTERY_CHANGED}                   2.269156e-05 1.0000000  1.704807e+02"
"205 {BaseCardView}                                                      => {android.intent.action.VIEW}                              2.269156e-05 1.0000000  1.874091e+00"
"207 {android.settings.DREAM_SETTINGS}                                   => {Object}                                                  2.269156e-05 1.0000000  2.139648e+00"
"208 {Visual}                                                            => {android.intent.action.VIEW}                              2.269156e-05 1.0000000  1.874091e+00"
"218 {Rectangle}                                                         => {android.intent.action.VIEW}                              2.836445e-05 1.0000000  1.874091e+00"
"246 {Share}                                                             => {android.intent.action.SEND}                              3.971023e-05 1.0000000  5.080029e+00"
"250 {android.media.action.STILL_IMAGE_CAMERA_SECURE}                    => {Object}                                                  3.971023e-05 1.0000000  2.139648e+00"
"260 {DefaultHandler}                                                    => {android.intent.action.VIEW}                              4.538312e-05 1.0000000  1.874091e+00"
"261 {RingtonePreference}                                                => {android.intent.action.RINGTONE_PICKER}                   4.538312e-05 1.0000000  9.793167e+02"
"264 {AccountAuthenticatorActivity}                                      => {android.intent.action.VIEW}                              4.538312e-05 1.0000000  1.874091e+00"
"266 {DialogPref}                                                        => {android.intent.action.MAIN}                              5.105601e-05 1.0000000  3.032462e+01"
"292 {Callback}                                                          => {android.intent.action.PHONE_STATE}                       6.240179e-05 1.0000000  2.350360e+03"
"313 {ArrayList}                                                         => {android.intent.action.VIEW}                              7.942046e-05 1.0000000  1.874091e+00"
"320 {Entity}                                                            => {android.intent.action.VIEW}                              7.942046e-05 1.0000000  1.874091e+00"
"308 {menu}                                                              => {android.intent.action.VIEW}                              6.807468e-05 0.9230769  1.729930e+00"
"349 {Scene}                                                             => {android.intent.action.VIEW}                              1.304765e-04 0.9200000  1.724164e+00"
"277 {WakefulBroadcastReceiver}                                          => {android.intent.action.VIEW}                              4.538312e-05 0.8888889  1.665859e+00"
"278 {CardView}                                                          => {android.intent.action.VIEW}                              4.538312e-05 0.8888889  1.665859e+00"
"423 {android.net.wifi.PICK_WIFI_NETWORK}                                => {Object}                                                  4.595041e-04 0.8804348  1.883820e+00"
"362 {SQLiteOpenHelper}                                                  => {android.intent.action.MAIN}                              1.531680e-04 0.8709677  2.641176e+01"
"481 {WebChromeClient}                                                   => {android.intent.action.GET_CONTENT}                       3.080379e-03 0.8619048  7.921480e+01"
"435 {android.bluetooth.device.action.ACL_CONNECTED}                     => {FragmentActivity}                                        6.637281e-04 0.8417266  2.061365e+01"
"504 {ListActivity}                                                      => {android.intent.action.SEND}                              6.277620e-02 0.8408176  4.271377e+00"
"241 {DeviceAdminReceiver}                                               => {android.app.action.ADD_DEVICE_ADMIN}                     2.836445e-05 0.8333333  9.793167e+02"
"245 {android.intent.action.SHOW_ALARMS}                                 => {Object}                                                  2.836445e-05 0.8333333  1.783040e+00"
"304 {android.settings.APN_SETTINGS}                                     => {Object}                                                  5.672890e-05 0.8333333  1.783040e+00"
"389 {android.settings.USAGE_ACCESS_SETTINGS}                            => {Object}                                                  2.439343e-04 0.8269231  1.769324e+00"
"486 {android.settings.WIFI_SETTINGS}                                    => {Object}                                                  4.980797e-03 0.8197946  1.754071e+00"
"289 {android.intent.action.PROXY_CHANGE}                                => {Object}                                                  5.105601e-05 0.8181818  1.750621e+00"
"291 {ViewPager}                                                         => {android.intent.action.VIEW}                              5.105601e-05 0.8181818  1.533347e+00"
"436 {android.bluetooth.device.action.ACL_DISCONNECTED}                  => {FragmentActivity}                                        6.637281e-04 0.8125000  1.989790e+01"
"431 {android.settings.INPUT_METHOD_SETTINGS}                            => {Object}                                                  5.219059e-04 0.8070175  1.726733e+00"
"493 {android.settings.LOCATION_SOURCE_SETTINGS}                         => {Object}                                                  9.104988e-03 0.8025000  1.717067e+00"
"321 {Intent}                                                            => {android.intent.action.VIEW}                              6.240179e-05 0.7857143  1.472500e+00"
"433 {NativeActivity}                                                    => {android.intent.action.VIEW}                              5.786348e-04 0.7786260  1.459216e+00"
"424 {WallpaperService$Engine}                                           => {android.intent.action.BATTERY_CHANGED}                   4.141210e-04 0.7765957  1.323946e+02"
"467 {android.settings.SETTINGS}                                         => {Object}                                                  1.713213e-03 0.7664975  1.640034e+00"
"479 {android.settings.WIRELESS_SETTINGS}                                => {Object}                                                  2.303193e-03 0.7546468  1.614678e+00"
"191 {Overlay}                                                           => {android.intent.action.VIEW}                              1.701867e-05 0.7500000  1.405568e+00"
"192 {Command}                                                           => {android.intent.action.VIEW}                              1.701867e-05 0.7500000  1.405568e+00"
"197 {android.intent.action.MEDIA_SEARCH}                                => {Activity}                                                1.701867e-05 0.7500000  4.708253e+00"
"200 {Operation}                                                         => {android.intent.action.SEND}                              1.701867e-05 0.7500000  3.810022e+00"
"203 {android.intent.action.EXTERNAL_APPLICATIONS_AVAILABLE}             => {Object}                                                  1.701867e-05 0.7500000  1.604736e+00"
"206 {GLFrameLayout}                                                     => {android.intent.action.MAIN}                              1.701867e-05 0.7500000  2.274346e+01"
"259 {android.app.action.START_ENCRYPTION}                               => {Object}                                                  3.403734e-05 0.7500000  1.604736e+00"
"302 {LinkMovementMethod}                                                => {android.intent.action.VIEW}                              5.105601e-05 0.7500000  1.405568e+00"
"401 {android.settings.ADD_ACCOUNT_SETTINGS}                             => {Object}                                                  2.722987e-04 0.7500000  1.604736e+00"
"484 {AppWidgetProvider}                                                 => {android.intent.action.MAIN}                              3.329986e-03 0.7439797  2.256090e+01"
"335 {URLSpan}                                                           => {android.intent.action.VIEW}                              7.942046e-05 0.7368421  1.380909e+00"
"286 {AsyncTaskLoader}                                                   => {android.intent.action.MAIN}                              4.538312e-05 0.7272727  2.205427e+01"
"288 {android.bluetooth.headset.profile.action.CONNECTION_STATE_CHANGED} => {Object}                                                  4.538312e-05 0.7272727  1.556107e+00"
"290 {Plugin}                                                            => {android.intent.action.VIEW}                              4.538312e-05 0.7272727  1.362975e+00"
"385 {android.settings.DATE_SETTINGS}                                    => {Object}                                                  1.928783e-04 0.7234043  1.547830e+00"
"332 {android.hardware.action.NEW_PICTURE}                               => {Object}                                                  7.374757e-05 0.7222222  1.545301e+00"
"368 {Screen}                                                            => {android.intent.action.VIEW}                              1.474951e-04 0.7222222  1.353510e+00"
"475 {IntentService}                                                     => {android.intent.action.VIEW}                              2.104642e-03 0.7176015  1.344851e+00"
"315 {GestureDetector$SimpleOnGestureListener}                           => {android.intent.action.VIEW}                              5.672890e-05 0.7142857  1.338636e+00"
"497 {android.intent.action.CALL}                                        => {Object}                                                  1.641734e-02 0.7112313  1.521784e+00"
"456 {ClickableSpan}                                                     => {android.intent.action.VIEW}                              1.038139e-03 0.7093023  1.329297e+00"
"380 {SurfaceView}                                                       => {android.intent.action.VIEW}                              1.645138e-04 0.7073171  1.325577e+00"
"283 {android.hardware.action.NEW_VIDEO}                                 => {Object}                                                  3.971023e-05 0.7000000  1.497753e+00"
"445 {Shape}                                                             => {android.intent.action.VIEW}                              7.147841e-04 0.7000000  1.311864e+00"
"384 {android.media.action.STILL_IMAGE_CAMERA}                           => {Object}                                                  1.815325e-04 0.6956522  1.488450e+00"
"506 {WebViewClient}                                                     => {android.intent.action.VIEW}                              6.756412e-02 0.6944202  1.301407e+00"
"452 {LinearLayout}                                                      => {android.intent.action.VIEW}                              9.530455e-04 0.6942149  1.301022e+00"
"420 {android.settings.ACTION_NOTIFICATION_LISTENER_SETTINGS}            => {Object}                                                  3.403734e-04 0.6896552  1.475619e+00"
"408 {android.settings.SECURITY_SETTINGS}                                => {Object}                                                  2.893174e-04 0.6891892  1.474622e+00"
"476 {Handler}                                                           => {android.intent.action.VIEW}                              2.042240e-03 0.6883365  1.290005e+00"
"327 {ContextWrapper}                                                    => {android.intent.action.VIEW}                              6.240179e-05 0.6875000  1.288438e+00"
"333 {Controller}                                                        => {android.intent.action.SEND}                              7.374757e-05 0.6842105  3.475809e+00"
"407 {android.bluetooth.adapter.action.DISCOVERY_FINISHED}               => {Activity}                                                2.779716e-04 0.6712329  4.213779e+00"
"135 {MediaPlayer}                                                       => {android.media.RINGER_MODE_CHANGED}                       1.134578e-05 0.6666667  3.013282e+03"
"141 {android.speech.RecognitionService}                                 => {Object}                                                  1.134578e-05 0.6666667  1.426432e+00"
"143 {SettingsFragment}                                                  => {android.intent.action.VIEW}                              1.134578e-05 0.6666667  1.249394e+00"
"147 {ImageButton}                                                       => {android.intent.action.SEND}                              1.134578e-05 0.6666667  3.386686e+00"
"151 {android.settings.NETWORK_OPERATOR_SETTINGS}                        => {Object}                                                  1.134578e-05 0.6666667  1.426432e+00"
"161 {android.intent.action.APP_ERROR}                                   => {Object}                                                  1.134578e-05 0.6666667  1.426432e+00"
"163 {android.intent.action.MEDIA_REMOVED}                               => {Activity}                                                1.134578e-05 0.6666667  4.185114e+00"
"169 {SimpleCursorAdapter}                                               => {android.intent.action.SEND}                              1.134578e-05 0.6666667  3.386686e+00"
"172 {HorizontalScrollView}                                              => {android.net.conn.CONNECTIVITY_CHANGE}                    1.134578e-05 0.6666667  9.275296e+01"
"176 {ItemInfo}                                                          => {android.intent.action.MAIN}                              1.134578e-05 0.6666667  2.021641e+01"
"178 {android.intent.action.PACKAGE_REPLACED}                            => {Object}                                                  1.134578e-05 0.6666667  1.426432e+00"
"180 {DreamService}                                                      => {android.intent.action.BATTERY_CHANGED}                   1.134578e-05 0.6666667  1.136538e+02"
"229 {Template}                                                          => {android.intent.action.VIEW}                              2.269156e-05 0.6666667  1.249394e+00"
"244 {ResultReceiver}                                                    => {android.intent.action.VIEW}                              2.269156e-05 0.6666667  1.249394e+00"
"269 {android.settings.INTERNAL_STORAGE_SETTINGS}                        => {Object}                                                  3.403734e-05 0.6666667  1.426432e+00"
"280 {ActionProvider}                                                    => {android.intent.action.VIEW}                              3.403734e-05 0.6666667  1.249394e+00"
"322 {android.settings.WIFI_IP_SETTINGS}                                 => {Object}                                                  5.672890e-05 0.6666667  1.426432e+00"
"451 {android.intent.action.AIRPLANE_MODE}                               => {Object}                                                  8.339148e-04 0.6591928  1.410440e+00"
"377 {WebView}                                                           => {android.intent.action.VIEW}                              1.531680e-04 0.6585366  1.234157e+00"
"352 {android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION}           => {Service}                                                 9.643913e-05 0.6538462  6.298253e+01"
"485 {android.intent.action.INSERT}                                      => {Object}                                                  3.029323e-03 0.6520147  1.395082e+00"
"361 {android.settings.NFC_SETTINGS}                                     => {Object}                                                  1.134578e-04 0.6451613  1.380418e+00"
"382 {android.settings.APPLICATION_DEVELOPMENT_SETTINGS}                 => {Object}                                                  1.645138e-04 0.6444444  1.378884e+00"
"319 {CursorAdapter}                                                     => {android.intent.action.VIEW}                              5.105601e-05 0.6428571  1.204773e+00"
"434 {android.intent.action.INSERT_OR_EDIT}                              => {Object}                                                  4.935414e-04 0.6397059  1.368745e+00"
"372 {android.intent.action.UNINSTALL_PACKAGE}                           => {Object}                                                  1.304765e-04 0.6388889  1.366997e+00"
"257 {AccessibilityService}                                              => {android.settings.ACCESSIBILITY_SETTINGS}                 2.836445e-05 0.6250000  1.210694e+03"
"263 {android.bluetooth.adapter.action.SCAN_MODE_CHANGED}                => {Activity}                                                2.836445e-05 0.6250000  3.923544e+00"
"326 {android.media.SCO_AUDIO_STATE_CHANGED}                             => {Object}                                                  5.672890e-05 0.6250000  1.337280e+00"
"328 {android.intent.action.CREATE_DOCUMENT}                             => {Object}                                                  5.672890e-05 0.6250000  1.337280e+00"
"376 {android.settings.DISPLAY_SETTINGS}                                 => {Object}                                                  1.418222e-04 0.6250000  1.337280e+00"
"388 {android.intent.action.MEDIA_UNMOUNTED}                             => {PreferenceActivity}                                      1.701867e-04 0.6250000  5.829266e+01"
"400 {android.provider.Telephony.ACTION_CHANGE_DEFAULT}                  => {Object}                                                  2.269156e-04 0.6250000  1.337280e+00"
"386 {android.intent.action.CONFIGURATION_CHANGED}                       => {Object}                                                  1.645138e-04 0.6170213  1.320208e+00"
"351 {android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION}            => {Object}                                                  9.076624e-05 0.6153846  1.316706e+00"
"421 {android.settings.ACCESSIBILITY_SETTINGS}                           => {Object}                                                  3.176818e-04 0.6153846  1.316706e+00"
"509 {Object}                                                            => {android.intent.action.VIEW}                              2.829751e-01 0.6054669  1.134700e+00"
"430 {android.bluetooth.device.action.FOUND}                             => {Activity}                                                3.687378e-04 0.6018519  3.778228e+00"
"214 {AbstractThreadedSyncAdapter}                                       => {android.intent.action.BATTERY_CHANGED}                   1.701867e-05 0.6000000  1.022884e+02"
"216 {android.bluetooth.a2dp.profile.action.CONNECTION_STATE_CHANGED}    => {Service}                                                 1.701867e-05 0.6000000  5.779574e+01"
"219 {android.media.action.HDMI_AUDIO_PLUG}                              => {FragmentActivity}                                        1.701867e-05 0.6000000  1.469383e+01"
"220 {ContentObserver}                                                   => {android.intent.action.VIEW}                              1.701867e-05 0.6000000  1.124455e+00"
"223 {ListPreference}                                                    => {android.intent.action.MEDIA_BUTTON}                      1.701867e-05 0.6000000  2.684421e+02"
"224 {android.provider.Telephony.WAP_PUSH_RECEIVED}                      => {Application}                                             1.701867e-05 0.6000000  1.665609e+02"
"227 {Item}                                                              => {android.intent.action.VIEW}                              1.701867e-05 0.6000000  1.124455e+00"
"285 {MainFragment}                                                      => {android.intent.action.VIEW}                              3.403734e-05 0.6000000  1.124455e+00"
"397 {android.settings.SYNC_SETTINGS}                                    => {Object}                                                  2.042240e-04 0.6000000  1.283789e+00"
"394 {android.settings.AIRPLANE_MODE_SETTINGS}                           => {Object}                                                  1.928783e-04 0.5964912  1.276281e+00"
"346 {BaseExpandableListAdapter}                                         => {android.intent.action.VIEW}                              7.374757e-05 0.5909091  1.107417e+00"
"359 {android.intent.action.RUN}                                         => {Object}                                                  9.643913e-05 0.5862069  1.254276e+00"
"395 {android.settings.DATA_ROAMING_SETTINGS}                            => {Object}                                                  1.928783e-04 0.5862069  1.254276e+00"
"442 {RelativeLayout}                                                    => {android.intent.action.VIEW}                              5.048872e-04 0.5855263  1.097330e+00"
"379 {PagerAdapter}                                                      => {android.intent.action.VIEW}                              1.361494e-04 0.5853659  1.097029e+00"
"296 {android.net.wifi.RSSI_CHANGED}                                     => {Activity}                                                3.971023e-05 0.5833333  3.661975e+00"
"298 {WallpaperService}                                                  => {android.intent.action.VIEW}                              3.971023e-05 0.5833333  1.093220e+00"
"301 {ViewFragment}                                                      => {android.intent.action.VIEW}                              3.971023e-05 0.5833333  1.093220e+00"
"429 {android.settings.BLUETOOTH_SETTINGS}                               => {Object}                                                  3.460463e-04 0.5754717  1.231307e+00"
"249 {State}                                                             => {android.intent.action.VIEW}                              2.269156e-05 0.5714286  1.070909e+00"
"251 {Common}                                                            => {android.intent.action.SEND}                              2.269156e-05 0.5714286  2.902874e+00"
"255 {android.intent.action.PROVIDER_CHANGED}                            => {Object}                                                  2.269156e-05 0.5714286  1.222656e+00"
"318 {android.settings.MEMORY_CARD_SETTINGS}                             => {Object}                                                  4.538312e-05 0.5714286  1.222656e+00"
"428 {android.intent.action.WEB_SEARCH}                                  => {Object}                                                  3.290276e-04 0.5686275  1.216662e+00"
"461 {MapActivity}                                                       => {android.intent.action.VIEW}                              9.700642e-04 0.5681063  1.064683e+00"
"474 {android.intent.action.DELETE}                                      => {Object}                                                  1.560045e-03 0.5658436  1.210706e+00"
"268 {GLBaseAdapter}                                                     => {android.intent.action.VIEW}                              2.836445e-05 0.5555556  1.041162e+00"
"274 {FragmentTab}                                                       => {android.intent.action.DIAL}                              2.836445e-05 0.5555556  1.266085e+01"
"276 {android.net.wifi.supplicant.STATE_CHANGE}                          => {Object}                                                  2.836445e-05 0.5555556  1.188693e+00"
"462 {BaseAdapter}                                                       => {android.intent.action.VIEW}                              9.643913e-04 0.5537459  1.037770e+00"
"418 {View}                                                              => {android.intent.action.VIEW}                              2.666258e-04 0.5529412  1.036262e+00"
"466 {Dialog}                                                            => {android.intent.action.VIEW}                              1.225344e-03 0.5510204  1.032662e+00"
"342 {AlertDialog}                                                       => {android.intent.action.VIEW}                              6.240179e-05 0.5500000  1.030750e+00"
